Video Title,Comment
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Lah tetap k beh geh sarua bae
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",br tau y😂😂😂
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Dimyati mantan Bupati Pandeglang,,, udh gitu skrng Istrinya yg jadi Bupati,, Kemiskinan diderah² trpencil ttep aj meningkat..."
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Bingung mau pilih siapa
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Pilih Ibu ku dong . 

Airin👍👍👍"
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10","Sy dari Tangerang Banten 
Dukung Airin"
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",20 tahun Pandeglang yang mimpin keluarga DIA LAGI DIA LAGI 😆😀
"Debat Pertama Pilkada Banten 2024, Kandidat Saling Sindir - Kawal Pilkada 17/10",Gubernur di kontrak kerjanye 5 thn   kenapa para buruh hanya  di kontrak kerja 1 thn  oleh perusaan ? Kan  Sebagian  buruh yg gaji gubernur ? Adil kah ini ? Kenapa kga disamakan aja kontrak kerjanya 5 thn  parah buruh pabrik biar adiiiiil doong ? Lalu siapa yg perjuangkan nasib para buruh ini.
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,gunakan hak pilih dan joblos sesuai isi hatimu demi banten
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"mudah²an banten maju terus... siapapun pemimpin nya masyarakat makmur, lapangan kerja dan pendidikan penting banget buat masa depan terutama buat generasi penerus bangsa... dan jgn ada persyaratan  bkn BPJS buat persyaratan SKCK dan denger² pajak juga klo byr harus ada SKCk... kasihan masyarakat mau cari kerja maksain bkn BPJS sekeluarga demi persyaratan kerja... tilong siapapun pemimpin nya🙏🏻"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Tepat ngomong na ibu aing
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Udh di jwb itu brooo jgn mengcopy walah
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Pinter banget jwbnya
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,01 menyala
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Tangerang aja maju pesat ditangan bu Arin, apalagi jadi gubernur majunya pasti merata, bu Airin dan pak ade yg harus kita pilih"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"PENDIDIKAN GRATIS SMA/SMK/MA/SKH Negeri dan Swasta... What.....????

1. Duit dari mana Bung ?  Sekarang aja, terseok Seok 
2. Gaji guru di swasta ?
3. Pendapatan Yayasan ?
4. Mutu pendidikan ??
5. Gaji TP dan TK di negeri saat ini ??? 😢

Hadeuhhhh CUMA OMDO"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Jemput kemenangan 01
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Pondok aren menyala...No 1 yes
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Saya PKS tapi Figur Dimyati tidak mewakili aspirasi Saya bahkan kacer2 yg lain, karena di Pandeglang kami mengalami diskriminasi Infrastruktur, pendidikan sosial dan Budaya. Sayang Andra Soni berpasangan dengan orang yg salah."
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,01 menyala
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Jangan mudah tertipu pada janji dan tampilan saja, faktanya dilingkungan Ibu airin dan
keluarga penuh dengan rompi orange."
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,no 2 bukannya mnyampaikan visi misi malah bercerita🤭😄😄
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Kalian semua warga banten yang dukung 01 mengharapkan apa dari 01?  Udah jelas 02 untuk kemajuan provinsi banten kita agar jauh lebih emas dan lebih bergairah 02 majuuuu terus aje megegek   saya doakan 02 menjadi gubernur Banten 2024 agar banten jauh lebih baik dari sebelumnya 🎉🎉🎉 02 gaskeun lurrrr
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Insyha allah yg akurat dan amanah 02 amiiin
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Soal implasi penjelasan bu airin ko keren
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Ga jelas visi misi 02 .yang ada haya mengungkit masalalu .ini Airin .lihat Tangsel yang pembangunan y yata .
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"H. Ade core ke mr. Dim membuat bu Airin senyum2
1. Bagaimana melindungi perempuan dari kejahatan seksual
2. Kami keliling dari kampung ke kampung bukan panggung ke panggung
3. Stanting itu ada 2 (no. 2) gagal tumbuh fisiknya dan otaknya, wkwk
4. Kemiskinan Pandeglang tertinggi di Banten

Pak H.Ade kartu mati nya mr dim"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Pasangan nomor 2 ni belum siap buat debat.
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,ah cuma PDA obral janji doang
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Cantik rupa semoga menandakan cantik akhlak dan aqidah menghasilkan cantik cara memimpin dengan keilmuan yang mumpuni di sertai iman untuk amanah ,adil dan bijaksana, menghantarkan banten menuju masa depan amar ma'ruf nahi mungkar, aamiin. 
🇮🇩❤ Ibu Airin Rahmi diany dan Bapak Ade Sumardi❤🇮🇩
Banten percaya pada anda berdua.
Baarakallahu fiikum"
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,Yg 1 disetir partai yg 1 dinasti
LIVE - Debat Kedua Pilkada Banten 2024: Airin-Ade VS Andra-Dimyati,"Lanjut bu,tolong perhatikan honorer kemenag,jngn keluarga saja"
